Espèces;Famille;Date;Nombre d'espèce;Prélèvement;Fungarium;N° Exsiccata;Récolteur(s);Déterminateur(s);Légataire récolte;Site;Fiabilité détermination;Commentaire
Agaricus campestris L., nom. sanct.;Agaricaceae;16/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;Non prélevé car exemplaire déjà dégradé.
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;16/11/2025;11;Oui;Oui;RNNCS-P05-161125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Hygrocybe conica (Schaeff.) Kumm.;Hygrophoraceae;16/11/2025;4;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;Individus dégradés.
Hygrocybe euroflavescens Kühner;Hygrophoraceae;16/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;Individu déjà très dégradé.
Cuphophyllus russocoriaceus (Berk. & Miller) Bon;Hygrophoraceae;16/11/2025;1;Oui;Oui;RNNCS-P05-161125-003;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Cuphophyllus berkeleyi (P.D. Orton & Watling) Bon;Hygrophoraceae;16/11/2025;1;Oui;Oui;RNNCS-P05-161125-002;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;16/11/2025;4;Oui;Oui;RNNCS-P07-161125-002;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 7;Probable;
Clitocybe dealbata (Sowerby) Kumm.;Clitocybaceae;16/11/2025;2;Oui;Oui;RNNCS-P07-161125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 7;Probable;
Tubaria conspersa (Pers.) Fayod;Tubariaceae;16/11/2025;1;Oui;Oui;RNNCS-P08-161125-002;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 8;Probable;
Clitocybe dealbata (Sowerby) Kumm.;Clitocybaceae;16/11/2025;1;Oui;Oui;RNNCS-P08-161125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 8;Probable;
Tubaria furfuracea (Pers.) Gillet;Hymenogastraceae;16/11/2025;2;Oui;Oui;RNNCS-P08-161125-003;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 8;Probable;
Mycena stylobates (Pers.) Kumm.;Mycenaceae;16/11/2025;1;Oui;Oui;RNNCS-P03-161125-003;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Probable;Sur feuille de chêne avec disque basale cilié.
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;16/11/2025;30;Oui;Oui;RNNCS-P03-161125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Probable;
Hygrocybe conica (Schaeff.) Kumm.;Hygrophoraceae;16/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Probable;Individu déjà très dégradé.
Cuphophyllus flavipes (Britzelm.) Bon;Hygrophoraceae;16/11/2025;1;Oui;Oui;RNNCS-P16-161125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Probable;Individu dégradé.
