espece,nb_visites,prop_visites,classe_frequence
Esp0485,20,0.425531914893617,occasionnelle
Esp0486,20,0.425531914893617,occasionnelle
Esp0484,19,0.40425531914893614,occasionnelle
Esp0483,18,0.3829787234042553,occasionnelle
Esp0482,17,0.3617021276595745,occasionnelle
Esp0480,16,0.3404255319148936,occasionnelle
Esp0481,16,0.3404255319148936,occasionnelle
Esp0478,15,0.3191489361702128,occasionnelle
Esp0479,15,0.3191489361702128,occasionnelle
Esp0475,14,0.2978723404255319,occasionnelle
Esp0476,14,0.2978723404255319,occasionnelle
Esp0477,14,0.2978723404255319,occasionnelle
Esp0471,13,0.2765957446808511,occasionnelle
Esp0472,13,0.2765957446808511,occasionnelle
Esp0473,13,0.2765957446808511,occasionnelle
Esp0474,13,0.2765957446808511,occasionnelle
Esp0466,12,0.2553191489361702,occasionnelle
Esp0467,12,0.2553191489361702,occasionnelle
Esp0468,12,0.2553191489361702,occasionnelle
Esp0469,12,0.2553191489361702,occasionnelle
Esp0470,12,0.2553191489361702,occasionnelle
Esp0459,11,0.23404255319148937,très_rare
Esp0460,11,0.23404255319148937,très_rare
Esp0461,11,0.23404255319148937,très_rare
Esp0462,11,0.23404255319148937,très_rare
Esp0463,11,0.23404255319148937,très_rare
Esp0464,11,0.23404255319148937,très_rare
Esp0465,11,0.23404255319148937,très_rare
Esp0451,10,0.2127659574468085,très_rare
Esp0452,10,0.2127659574468085,très_rare
Esp0453,10,0.2127659574468085,très_rare
Esp0454,10,0.2127659574468085,très_rare
Esp0455,10,0.2127659574468085,très_rare
Esp0456,10,0.2127659574468085,très_rare
Esp0457,10,0.2127659574468085,très_rare
Esp0458,10,0.2127659574468085,très_rare
Esp0441,9,0.19148936170212766,très_rare
Esp0442,9,0.19148936170212766,très_rare
Esp0443,9,0.19148936170212766,très_rare
Esp0444,9,0.19148936170212766,très_rare
Esp0445,9,0.19148936170212766,très_rare
Esp0446,9,0.19148936170212766,très_rare
Esp0447,9,0.19148936170212766,très_rare
Esp0448,9,0.19148936170212766,très_rare
Esp0449,9,0.19148936170212766,très_rare
Esp0450,9,0.19148936170212766,très_rare
Esp0429,8,0.1702127659574468,très_rare
Esp0430,8,0.1702127659574468,très_rare
Esp0431,8,0.1702127659574468,très_rare
Esp0432,8,0.1702127659574468,très_rare
Esp0433,8,0.1702127659574468,très_rare
Esp0434,8,0.1702127659574468,très_rare
Esp0435,8,0.1702127659574468,très_rare
Esp0436,8,0.1702127659574468,très_rare
Esp0437,8,0.1702127659574468,très_rare
Esp0438,8,0.1702127659574468,très_rare
Esp0439,8,0.1702127659574468,très_rare
Esp0440,8,0.1702127659574468,très_rare
Esp0414,7,0.14893617021276595,très_rare
Esp0415,7,0.14893617021276595,très_rare
Esp0416,7,0.14893617021276595,très_rare
Esp0417,7,0.14893617021276595,très_rare
Esp0418,7,0.14893617021276595,très_rare
Esp0419,7,0.14893617021276595,très_rare
Esp0420,7,0.14893617021276595,très_rare
Esp0421,7,0.14893617021276595,très_rare
Esp0422,7,0.14893617021276595,très_rare
Esp0423,7,0.14893617021276595,très_rare
Esp0424,7,0.14893617021276595,très_rare
Esp0425,7,0.14893617021276595,très_rare
Esp0426,7,0.14893617021276595,très_rare
Esp0427,7,0.14893617021276595,très_rare
Esp0428,7,0.14893617021276595,très_rare
Esp0396,6,0.1276595744680851,très_rare
Esp0397,6,0.1276595744680851,très_rare
Esp0398,6,0.1276595744680851,très_rare
Esp0399,6,0.1276595744680851,très_rare
Esp0400,6,0.1276595744680851,très_rare
Esp0401,6,0.1276595744680851,très_rare
Esp0402,6,0.1276595744680851,très_rare
Esp0403,6,0.1276595744680851,très_rare
Esp0404,6,0.1276595744680851,très_rare
Esp0405,6,0.1276595744680851,très_rare
Esp0406,6,0.1276595744680851,très_rare
Esp0407,6,0.1276595744680851,très_rare
Esp0408,6,0.1276595744680851,très_rare
Esp0409,6,0.1276595744680851,très_rare
Esp0410,6,0.1276595744680851,très_rare
Esp0411,6,0.1276595744680851,très_rare
Esp0412,6,0.1276595744680851,très_rare
Esp0413,6,0.1276595744680851,très_rare
Esp0371,5,0.10638297872340426,très_rare
Esp0372,5,0.10638297872340426,très_rare
Esp0373,5,0.10638297872340426,très_rare
Esp0374,5,0.10638297872340426,très_rare
Esp0375,5,0.10638297872340426,très_rare
Esp0376,5,0.10638297872340426,très_rare
Esp0377,5,0.10638297872340426,très_rare
Esp0378,5,0.10638297872340426,très_rare
Esp0379,5,0.10638297872340426,très_rare
Esp0380,5,0.10638297872340426,très_rare
Esp0381,5,0.10638297872340426,très_rare
Esp0382,5,0.10638297872340426,très_rare
Esp0383,5,0.10638297872340426,très_rare
Esp0384,5,0.10638297872340426,très_rare
Esp0385,5,0.10638297872340426,très_rare
Esp0386,5,0.10638297872340426,très_rare
Esp0387,5,0.10638297872340426,très_rare
Esp0388,5,0.10638297872340426,très_rare
Esp0389,5,0.10638297872340426,très_rare
Esp0390,5,0.10638297872340426,très_rare
Esp0391,5,0.10638297872340426,très_rare
Esp0392,5,0.10638297872340426,très_rare
Esp0393,5,0.10638297872340426,très_rare
Esp0394,5,0.10638297872340426,très_rare
Esp0395,5,0.10638297872340426,très_rare
Esp0336,4,0.0851063829787234,exceptionnelle
Esp0337,4,0.0851063829787234,exceptionnelle
Esp0338,4,0.0851063829787234,exceptionnelle
Esp0339,4,0.0851063829787234,exceptionnelle
Esp0340,4,0.0851063829787234,exceptionnelle
Esp0341,4,0.0851063829787234,exceptionnelle
Esp0342,4,0.0851063829787234,exceptionnelle
