"objectif","candidat","metric_primary","metric_secondary","selected"
"Objectif2_Ponderation","S1",0.9946,5,0
"Objectif2_Ponderation","S2",0.9996,5,1
"Objectif2_Ponderation","S3",0.9946,5,0
