"objectif","candidat","metric_primary","metric_secondary","selected"
"Objectif1_Descriptif","Descriptif",NA,NA,1
"Objectif2_Ponderation","S1",0.9968,5,1
"Objectif3_Modeles","baseline_majority",0.8707,0.7711,1
"Objectif4_Inference","Fisher_simule",3.15494538726261,0.0006999300069993,1
